Topic	Question	Answer
Автоответы	Приоритет срабатывания	В случае, если на одном канале одновременно работают несколько автоответов разных типов, приоритет срабатывания следующий: - Нерабочее время - Пропущенный вызов - Первое входящее Значит, если первое входящее сообщение или входящий вызов придет в нерабочее время, то сработает только автоответ “Нерабочее время“. А если попытка звонка будет началом диалога на канале WhatsApp Web, то сработает только автоответ Пропущенный вызов.
Автоответы	Можно ли включить автоответы для каналов в ОЛ	Нет
Автоответы	Какие автоответы для каких каналов можно включить	Автоответ Нерабочее время можно включить для каналов: WhatsApp Web, WABA, Instagram API, Telegram Personal, Telegram Bot, Вконтакте, Авито Автоответ Пропущенный звонок можно включить только для канала WhatsApp Web Автоответ Первое входящее можно включить для каналов: WhatsApp Web, WABA, Instagram API, Telegram Personal, Telegram Bot, Вконтакте, Авито
Автоответы	Как переименовать автоответ	Для переименования нужно: 1. Перейти в раздел Автооветы в ЛК Wazzup; 2. Выбрать нужный автоответ в списке; 3. Кликнуть на иконку карандаша; 4. В поле ввести нужное название и нажать Сохранить. https://monosnap.com/file/lQLrn7W4Rss21FDTrbaiGb9a50q4Lo  Ограничение на название автоответа - 50 символов.
Автоответы	Как удалить автоответ	Для удаления автоответа: 1. Перейдите в ЛК Ваззап - раздел Автоответы 2. Выберите ужный автоответ в списке, кликнув на него 3. Кликните на иконку корзины 4. В появившемся окне кликните на Удалить https://monosnap.com/file/rlkYE6YEeOilby9nKpMTNYzPtqgDyo 
Автоответы	Сбрасывается ли счетчик неотвеченных, если сообщение отправляется автоответом	Нет, после отправки автоответа, счетчик в диалоге сбрасываться не будет
Автоответы	Можно ли использовать эмоджи или файлы в автоответах	Эмоджи использовать можно Файлы нельзя добавлять
Автоответы	Автоответ Нерабочее время	Автоответ не срабатывает на комментарии в Instagram или ВКонтакте. Автоответ не срабатывает в групповом чате. Автоответ срабатывает в одном диалоге не чаще, чем 1 раз в 12 часов. Если сообщения были подтянуты в Wazzup с задержкой, то автоответ сработает только в случае выполнения обоих условий: Последнее сообщение в диалоге — входящее. Входящее сообщение пришло не более 1 часа назад.
Автоответы	Автоответ Первое входящее	Автоответ не срабатывает на комментарии в Instagram или ВКонтакте. Автоответ не срабатывает в групповом чате. Автоответ срабатывает в каждом диалоге только 1 раз. Если сообщения были подтянуты в Wazzup с задержкой, то автоответ сработает только в случае выполнения трех условий: Диалог новый. С момента создания в диалоге не было исходящих сообщений. С момента первого входящего прошло не более 1 часа.
Автоответы	Автоответ Пропущенный вызов	Автоответ начинает работать только если в чате с контактом уже были сообщения. Автоответ не срабатывает в групповом чате. Если сообщения были подтянуты в Wazzup с задержкой, то автоответ сработает только в случае выполнения обоих условий: Последнее сообщение в диалоге — пропущенный вызов. Пропущенный вызов был не более 1 часа назад. Если принять входящий вызов с другого устройства (например с телефона), то пропущенного вызова не будет и автоответ не сработает.
Админка	Как проверить логи отправки сообщений	Если обратился клиент с тем, что сообщение не пришло в чат ОЛ или в сделку в амо, проверяем логи отправки сообщения в админке: https://www.notion.so/92a7b8e316924c28ab69ca27d3c75b6d#8cb100b180e44aee8a9b71e58bfcbb16 
Админка	Как посмотреть дату создания интеграции	В админке ищем нужный аккаунт, переходим в него и нажимаем на вкладку Интеграции У нужной интеграции нажимаем на кнопку Подробнее, после у details нажимаем на {...} и смотрим поле "createdAt" https://monosnap.com/file/Wt3bq5Rxqt9XYy6T0MGzZY5zcggdVg
АльфаСрм	Не отправляются сообщения	Необходимо проверить карточки учеников, которым не отправились сообщения. Надо, чтобы чтобы слева от номера телефона было написано Мобильный, а не Телефон.
АльфаСрм	Можно ли подключить инсту	В АльфаСрм можно интегрировать только канал WA через наш сервис
